uniq_id,product_name,manufacturer,amazon_category_and_sub_category,price,number_available_in_stock,type_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating
70b6029cf6ad6f3f22e41395f9e8252f,Blade Nano Qx Bnf,Blade,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,79.19,7.0,new,4.0,3.0,4.3
f82b8de9dc40455476e731087fc0107e,Syma X8G Drone Quadcopter 8MP 1080P HD Camera 6 Axis Gyro RTF X8G 2.4GHz 4CH (X8G),Syma,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,139.97,3.0,new,5.0,3.0,4.6
4f705c302bdcf5d2b0c1df973d98f99f,DJI Phantom 2 with H3-3D Gimbal,DJI,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,995.11,2.0,used,4.0,19.0,5.0
e9a63c0de1537b7833cf1f5aa618a7dd,SKYREAT Aluminum Parabolic Antenna Range Booster for DJI Phantom 3 Inspire 1 Controller Transmitter Signal Extend,SKYREAT,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,14.99,2.0,new,1.0,19.0,4.0
6c9d9b7ac063ce75919001c6623542e0,iParaAiluRy CRIUS MultiWii MWC SE v2.5 Standard Edition Flight Controller Mini Rack,iParaAiluRy,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,21.26,2.0,new,1.0,19.0,5.0
f56f753164df11d7831b2b8cf79c33b1,Syma S102G 3.5-Channel RC Helicopter with Gyro,Syma,Hobbies > Remote Controlled Devices > Parts & Accessories,24.4,3.0,new,1.0,19.0,5.0
a2733bd0011c1ce133d44890a29d9484,Bladez Bubble Blaster - Remote Control Helicopter with LED Lights,Bladez Toyz,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,23.95,5.0,new,3.0,1.0,5.0
d5174a87e0a9314bc9dfa658339ad571,Syma X11 R/C Quadcopter - Red,Syma,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,19.2,4.0,new,2.0,1.0,5.0
97d54a6cabdf849075135154c1f562d6,Rcmodelpart Tarot Robocat TL250H Carbon Glass Fiber Mixed Mini 250 FPV Quadcopter Frame Kit,Tarot,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,29.72,2.0,new,1.0,1.0,5.0
da1563b90914d938cf46fcdcdbc80148,Syma Upgraded Version X5SC-1 Explorers RC Quadcopter 4CH 6-Axis 2.4G Gyro Drone With 2MP HD Camera White,Syma,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,38.99,4.0,new,29.0,1.0,4.8
b45fc05b002d2761f7a14a18bbe85abb,Cheerson CX-10A Mini Headless Mode 2.4G 4CH 6 Axis Gyro UFO Drone RC Quadcopter Helicopter RTF Toy Black,Cheerson,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,12.97,3.0,new,5.0,1.0,4.2
ecc5fee889d850aaa927e855ded30cb6,Parrot Rolling Spider Propellers x 4 (Red) ,Parrot,Hobbies > Remote Controlled Devices > Parts & Accessories,4.99,10.0,new,6.0,1.0,5.0
da7ed230d4bd618ff260036565ef69c0,Upgraded 25C 3.7V 380MAH Battery For Hubsan X4 H107 Ladybird RC Quadcopter,FamilyMall,Hobbies > Remote Controlled Devices > Parts & Accessories,1.71,2.0,new,2.0,1.0,4.5
469c45d8283a7d511b0c81e83bcb6349,XCSOURCE 4x Quick Release Propeller Guard White For DJI Phantom 3 1 2 Vision FC40 RC128,XCSOURCE,Hobbies > Remote Controlled Devices > Parts & Accessories,7.99,3.0,new,15.0,3.0,4.7
fa6f8f1ef02e177ee9c375d11cb8008d,HB HOMEBOAT® Syma X8C X8W7.4V 2000mAh Li-po Battery 2PCS (Round Jack),HB HomeBoat®,Hobbies > Remote Controlled Devices > Parts & Accessories,16.5,2.0,new,7.0,3.0,4.7
b37e3bce7b9e10288086d4102c407dbc,Siku 6784 - Vogel und Noot Grubber,Siku,Hobbies > Remote Controlled Devices > Parts & Accessories,47.63,17.0,new,1.0,3.0,5.0
94b80cf66b9166a178b8a0b73d2ca66c,Parrot Rolling Spider Propellers (Blue),Parrot,Hobbies > Remote Controlled Devices > Parts & Accessories,4.99,12.0,new,3.0,3.0,4.7
b51d2a0677bb7f04059899689a1f01b7,douself 2.4G 4CH Radio Model RC Transmitter & Receiver,douself,Hobbies > Remote Controlled Devices > Parts & Accessories,23.8,2.0,new,5.0,3.0,4.6
8016db28574ad3ed1d3ef1fa523f6774,HPI 101110 Foam Body Washer (10Pcs),HPI Racing,Hobbies > Remote Controlled Devices > Parts & Accessories,3.33,2.0,new,1.0,3.0,5.0
d09b1dbe2c506e910c6647b7879a260d,HPI Racing RC Car Ultra-CA High Quality Tyre Super Glue 20g,HPI Racing,Hobbies > Remote Controlled Devices > Parts & Accessories,6.42,3.0,new,3.0,3.0,4.3
ac7fea38c7cf79fab29506197f6688d5,"Anself CNC Aluminum Alloy FPV Monitor Mounting Bracket lengthways for DJI Transmitter Quadcopter FPV Silvery(FPV Monitor Mounting Bracket,DJI FPV Monitor Mounting Bracket)",Anself,Hobbies > Remote Controlled Devices > Parts & Accessories,6.58,2.0,new,4.0,3.0,4.5
e458378515ede7f5efd41c7006bdb3f3,Yacool® Jjrc H16 Tarantula X6 Drone 4ch Rc Quadcopter Spare Parts Landing Skid Gear X6-12,Yacool ®,Hobbies > Remote Controlled Devices > Parts & Accessories,2.8,2.0,new,1.0,3.0,5.0
7613442f4cc74df5849061644213b55c,Walkera Ladybird V2 RTF FPV Quadcopter with Devo F4,Walkera,Hobbies > Remote Controlled Devices > Parts & Accessories,199.99,3.0,new,1.0,3.0,5.0
a49f3910c0768e212ca7fada0c4bafb0,Traxxas TRA1633 E-Clip C-Clip Snap R Ring,Traxxas,Hobbies > Remote Controlled Devices > Parts & Accessories,1.18,2.0,new,1.0,3.0,5.0
628b67e9971d8b8ff81eaa473a1f9665,Thunder Tiger Pull Start PN0258 For Pro21/28BX-R,Thunder Tiger,Hobbies > Remote Controlled Devices > Parts & Accessories,16.99,4.0,new,2.0,2.0,5.0
08ecf0989982793e3d8079d25a775703,HPI 88017 Aluminium Center Drive Shaft,HPI Racing,Hobbies > Remote Controlled Devices > Parts & Accessories,11.36,4.0,new,1.0,2.0,5.0
7517ec393bf33d13ff2be6989bb833ee,Yacool ® hubsan crash pack for H107/h107l/h107c/h107d RC quadcopter (4x 3.7v 500mah 25c lipo Battery + 1x Battery Charger),Yacool ®,Hobbies > Remote Controlled Devices > Parts & Accessories,9.85,2.0,new,4.0,2.0,4.0
2d1975173afdea31c6142fb67dc8b15d,F104 Rubber Tires Front Type B (2),Tamiya,Hobbies > Remote Controlled Devices > Parts & Accessories,5.29,11.0,new,1.0,2.0,5.0
459a7b91640d437c10210558a2335ac1,Parrot Storage Case for Jumping Sumo Mini Drones,Parrot,Hobbies > Remote Controlled Devices > Parts & Accessories,24.99,5.0,new,2.0,2.0,5.0
be1ca2f6df9be4ddaa5805f782805e54,HPI E10 Drift RTR with Vaughn Gittin Jr. Monster Ford Mustang Body 111664,HPI,Hobbies > Remote Controlled Devices > Parts & Accessories,184.99,5.0,new,2.0,1.0,5.0
a5a167fc99e0a3c91462f9d34d807d5c,53344 Aluminum Heat Sink M03,Tamiya,Hobbies > Remote Controlled Devices > Parts & Accessories,9.8,9.0,new,1.0,1.0,5.0
56e3f40b3dbf7f8781e32da53a0e3aea,Traxxas TRA5137 Differential Oil - 50K Weight,Traxxas,Hobbies > Remote Controlled Devices > Parts & Accessories,4.1,2.0,new,2.0,3.0,5.0
cd3de22a7352fa98f45f60dadd58ca77,3.7V Li-po Battery for SYMA S107 Original Factory Replacement Part S107G-19,Syma,Hobbies > Remote Controlled Devices > Parts & Accessories,3.57,2.0,new,39.0,3.0,4.5
8ddab5587d8a697c9c013a335991c454,FM Ribbon Aerial,Electrovision,Hobbies > Remote Controlled Devices > Parts & Accessories,2.18,4.0,new,18.0,3.0,4.3
30c4fe0e7c462927dde2b26a5f9ff2db,Parrot Bebop Drone Feet Pack,Parrot,Hobbies > Remote Controlled Devices > Parts & Accessories,7.38,16.0,new,4.0,3.0,4.0
de7f6fe7a0661dd91a0295dca66a037a,Motor Sport Rs-540,Tamiya,Hobbies > Remote Controlled Devices > Parts & Accessories,11.27,19.0,new,16.0,2.0,4.8
