uniq_id,product_name,manufacturer,amazon_category_and_sub_category,price,number_available_in_stock,type_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating
dc598f016a3664f70ca65a87022a18a6,Hornby R3060 RailRoad BR 'Tornado' Class A1 00 Gauge Steam Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,79.95,7.0,new,17.0,1.0,4.4
eac1f8ec83ca5cc5fc0a6ddcb481b3f8,Hornby 00 Gauge 270mm BR Mk1 Corridor Composite BR Maroon Coach Model,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,19.95,3.0,new,1.0,1.0,4.0
6b9e4719e5fbd968730d3e25168c359b,Toy Train Set High Speed EMU Toy Train with Flashing Light & Music Kids Toys Gift,ARSUK,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,5.7,2.0,new,2.0,1.0,4.5
bf1b59fe9ed3ee095ccf159c2c74e10d,Model Railway 'OO' / 'HO' Scale C88 Schools Class Kings Wimbledon Locomotive Plastic Kit,Dapol,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,9.65,4.0,new,1.0,1.0,5.0
bed1c3d92b6b1343548ddc5a1001ee89,Hornby Gauge Eurostar 2014 Train Set,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,141.23,9.0,new,5.0,1.0,4.4
798c64c4eeb48bb985b94d45e5c5cfc0,Corgi 1:50 Fowler Showmans Valiant Pat Collins Amusements on Tour Steam Vehicle Model,Corgi,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,83.04,7.0,new,1.0,1.0,5.0
5c3da61bff1a3bb9237bae149fc100b7,Power Trains Motorized Train Set Freight Military Engine,Power Trains,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,21.95,3.0,new,1.0,1.0,5.0
95263d3e03936bf3a0bd175619b59cba,Fisher Price Thomas and Friends Take-n-play(TM) Talking James,Fisher Price,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,16.5,2.0,new,5.0,1.0,5.0
ae98d9437b91e1550b50395042175ecf,Hornby 00 Gauge RailRoad GWR Restaurant Coach Model,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,18.99,6.0,new,1.0,1.0,4.0
de197cda5c870afd5ed2f85b587e6e79,Hornby 00 Gauge 270mm BR Mk1 Corridor Second BR Coach Model (Chocolate/ Cream),Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,18.12,6.0,new,1.0,2.0,5.0
bdd43e34552ee5d84b793ccceb27b701,Hornby Gauge Flying Scotsman NRM 2015 Rededication Steam Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,169.99,3.0,new,1.0,2.0,4.0
f82cb6573e01270552f1649a1f1f5f24,Hornby R1151 Caledonian Belle 00 Gauge Electric Train Set,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,63.99,18.0,new,97.0,2.0,4.4
0669d1acffbc127780e2038635b8167a,31-465 Bachmann OO - Class C Wainwright 0-6-0 31579 in BR black with late crest,Bachmann,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,104.71,4.0,new,2.0,2.0,4.5
0130161d344e02254e17e2672279836c,Faller H0 140429 Fairground Ride Rainbow Millennium,Faller,Hobbies > Model Trains & Railway Sets > Accessories > Recreational Activities,82.76,5.0,new,5.0,2.0,4.0
5e40c134ad6f7adda391088022187883,Power Trains Motorized Train Set Freight Industrial Engine,Power Trains,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,22.95,2.0,new,1.0,2.0,5.0
c889882abe447fb6a14e36c916e62d9c,Bachmann 37-685 14 Ton Tank Wagon With Large Filler Mex Lamp Oils,Bachmann,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,12.0,2.0,new,1.0,2.0,5.0
83632d8ef8a9fb29f75296b34b7ccd6a,LMS 60ft Porthole Corridor Composite BR,RAILWAY - BACHMANN,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,28.98,3.0,new,1.0,2.0,5.0
8df980439240865028b8808ef7b14cb8,Preiser 30468 Horse Drawn Open Farm Cart,Preiser,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,20.21,4.0,new,1.0,2.0,5.0
1150534cee9ef4fa07f22dd1c709866d,Plarail - S-24 Series 485 Limited Express Train (Model Train),Takara Tomy,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,11.08,38.0,new,1.0,2.0,5.0
efcede0c71a5f78d36c6e0100f9c4fb3,Corgi 1:120 Scale Rail Legends 'Silver Link' A4 ClassDie Cast Stream Locomotive,Corgi,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,32.7,4.0,new,5.0,2.0,5.0
26f0e95eea814ee55fdf0674142faebe,Hornby Gauge Sentinel Barabel Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,51.53,4.0,new,1.0,2.0,5.0
3771983ef8f14ef1b7738c31a2c05856,Plan Toys Cargo Train,Plan Toys,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,15.83,8.0,new,1.0,2.0,5.0
552130d7fc1de1e574df9ea50e527c02,Dapol Model Railway BR Mogul Class Locomotive Plastic Kit - OO Scale 1/76,Dapol,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,11.95,4.0,new,4.0,2.0,4.3
3386e2030e8f3309ba97fc4acfba4814,Dapol 2D-020-002 London Midland Class 153 371,Dapol,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,100.0,2.0,new,1.0,2.0,4.0
808861a3a7355a080e0e1ad3cd51ba3f,B Train Shorty DD51 Diesel Locomotive Renewal Car A(Blue) & B(Red) (2-Car Set) (Model Train),Bandai,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,22.58,9.0,new,1.0,2.0,5.0
c42ec699f63ff3033df87ea3d7a97c9f,Dapol Model Railway Signal Gantry Plastic Kit - OO Scale 1/76,Dapol,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Signal & Sound,6.99,5.0,new,4.0,2.0,5.0
e27b34032fd39ada24f181fd96eaed13,Hornby R3119 LMS Duchess Of Abercorn - No Smoke Deflectors 00 Gauge Steam Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,119.5,2.0,new,1.0,2.0,5.0
2759c69ce78c8e702713c3ae63cc9259,Plan Toys Fuel Train,Plan Toys,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,14.2,6.0,new,1.0,2.0,5.0
d8ff946959a5d7cb6df65ae4fd15c016,10pcs Scale 1/500 3V Single-Head Model Street Lights Lamppost for Scenary Lighting,Generic,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Lamps & Lighting,5.99,2.0,new,1.0,2.0,5.0
b566ddaaa931ca661ad5238184a9270a,Corgi 1:120 Scale Rail Legends 'Sir Nigel Gresley' A4 Class 60007 Die Cast Stream Locomotive,Corgi,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,64.87,3.0,new,9.0,2.0,4.9
de3a9b8508d72623ded8cb07dc30331e,Hornby R1167 Flying Scotsman 00 Gauge Electric Train Set,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,108.99,17.0,new,67.0,6.0,4.2
6c0f920869922314c4c74c67549ecb13,Viessmann 5550 Universal Toggle Switches Panel (4 Switches),Viessmann,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Control Moduls,16.25,5.0,new,1.0,6.0,4.0
28b34581c89b979a168cf435f1c305c4,J.R. Electric Locomotive Type EH500 (Third Edition) (Model Train),Tommy Tech,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,96.95,10.0,new,1.0,6.0,5.0
9431d2d0575064a3d89bb2cd788cacc4,Hornby 00 Gauge 267mm 1st Class Post 1953 BR Hawksworth Coach Model,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,39.1,2.0,new,1.0,6.0,5.0
bc421302f860983f7e90f30c3ee9fffd,Model Power US Army Railway Gun Gauge H0,Model Power,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,14.95,2.0,new,2.0,6.0,5.0
c1976e03a3a8f7acca6b75e0668a9ea7,Gaugemaster Twin Track Cased Controller,Gaugemaster,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Control Moduls,94.88,2.0,new,3.0,6.0,4.7
2c75d86e52018a1e283ff53bb0fe8377,Micki Leksaker Train Set with Animals,Micki Leksaker,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,20.16,9.0,new,2.0,6.0,5.0
9c1780d4c600ed297f391cfd1414c715,Peco ST-235 Setrack 4th Radius Standard Curve,Peco,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,4.86,4.0,new,1.0,6.0,5.0
074832fae76089a3e349ba1ec7d6aa6a,Hornby '00' Gauge R3274 RailRoad BR 2-10-0 Franco Crosti Boiler 9F Class Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,119.99,2.0,new,2.0,6.0,4.0
afe95dccc9f8850cda65e77a9b36c3e5,Kato 23-226 Yard Buildings Kit,Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,12.31,34.0,new,1.0,6.0,5.0
e124ffa7345b54cf6cbc08530dfe8fbd,Camping Site,Busch,Hobbies > Model Trains & Railway Sets > Accessories > Landscaping,8.5,4.0,new,2.0,6.0,5.0
b158c4841db6e585d7dc9c3bab93f41a,2-Car Set N gauge 10-1232 KUHA 103 ATC Yamanote Line car preparation (Japan import / The package and the manual are written in Japanese),Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,18.5,26.0,new,2.0,6.0,4.5
d3ba4664fc261e77e803633360fcf28e,Märklin 72730 Switchboard (72730),Märklin,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Control Moduls,11.71,6.0,new,1.0,6.0,5.0
95534049f7431eea318a6018bc1eff3f,Hornby Railroad 00 Gauge Bagnall Diesel Shunter Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,29.99,6.0,new,5.0,6.0,4.0
8aa01bfb947d2aa80e65bc2dc34ec3da,Hornby 00 Gauge LNER 61ft/ 6-inch Sleeping Car Coach Model,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,41.67,3.0,new,1.0,6.0,5.0
